A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0
0.386248,0.71348,0.0545962,0,1.63368,0.00389737,0.553502,0.0927164,0.260978,3.58439,0.348274,0.487221
0.207166,0.636592,0.162656,0.167625,1.73297,0.110028,0.336902,0.039687,0,3.58903,0.261012,0.578134
0.0656281,0.625008,0.19259,0.319947,1.75454,0.016881,0.292867,0.0505029,0,3.67397,0.228907,0.484409
0.0554599,0.626997,0.228387,0.468121,1.72013,0.0224718,0.273186,0.0463897,0,3.72948,0.226143,0.402663
0.11351,0.891976,0.623167,0.0633509,2.24291,0.0100606,0.435692,0.0191576,0.00654954,3.59511,0.000902613,0.376291
0.189637,1.73932,0.718852,0.0290654,2.82796,0.395405,0.354129,0.0220252,1.04256,2.35314,0.0004503,0.70608
0.124637,1.97016,0.728459,0.0175957,3.06622,0.60154,0.32979,0.0630523,1.2069,1.45315,0.000401516,0.761872
0.275489,2.41211,0.632845,0.0441779,3.17582,0.576382,0.252296,0.0781647,1.10085,1.15484,0.0088352,0.554854
0.238131,2.64023,0.556079,0.038656,3.17978,0.430359,0.25059,0.0642239,1.07304,1.16398,0.0539289,0.404261
0.254866,2.68225,0.540641,0.00594858,3.09523,0.451306,0.310129,0.0321596,1.13584,1.18519,0.00444307,0.289802
0.178896,2.60749,0.342757,0.32652,3.01961,0.430285,0.328636,0.00501872,1.01775,1.35806,0.000449378,0.310081
0,2.43428,0.42444,0.109034,2.97966,0.445636,0.650499,0.024482,0.997154,1.44913,0.000238374,0.364043
0.0346008,2.44508,0.482749,0.0257312,2.9607,0.183791,0.869818,0.159896,0.972519,1.49197,0.0522294,0.312931
0.0394057,2.58642,0.267433,0.133854,2.8893,0.0566229,0.808609,0.211787,1.01726,1.69737,0.0583847,0.366552
0.10657,2.54492,0.0849816,0.211741,2.57017,0.0556186,0.80442,0,1.07616,2.11299,0.00595975,0.419014
0.00334424,2.79093,0.231264,0.176858,2.4334,0.106631,0.0777598,0,1.23933,2.03832,0.0588771,0.61442
0.0595357,2.71569,0.546454,0.202731,2.72092,0.256695,0.0486435,0,1.35073,1.63448,0.00266026,0.795841
0.209685,2.87959,0.638522,0.187493,2.95311,0.250832,0.0518342,0,1.3083,1.28417,0.001535,0.778648
0.16092,3.11252,0.538166,0.0745494,3.17906,0.1855,0.0563563,0,1.25344,1.00082,0.00128688,0.760392
0.0263077,3.17512,0.396553,0.0782211,3.24706,0.107475,0.0612452,0.00392731,1.20872,0.861176,0.000655989,0.7752
6.14394e-05,3.00043,0.707991,0.0666762,3.07818,0.0560289,0.139037,0.00352066,1.20799,1.10583,0.000476442,0.84994
0,2.54687,0.512146,0.0309577,2.98751,0.0410938,0.573469,0.0086616,1.31852,1.38918,5.73092e-05,0.819566
0,2.39194,0.408808,0.00685029,2.99511,0.221408,0.858328,0.0196643,1.21672,1.50254,0,0.813233
0,2.36768,0.26497,0.00197568,2.92677,0.267319,0.883941,0.02722,0.953286,1.9308,0,0.767008
0.12847,2.41096,0.237044,0,2.76877,0.209957,0.785207,0.00571827,0.882112,2.24844,0,0.806838
0.427158,2.50784,0.277722,0,2.7739,0.0124723,0.690036,0.0121431,0.96756,2.09104,0,0.838161
0.281468,2.55513,0.282007,0,3.0507,0.0161524,0.655365,0.0154593,1.12252,1.67597,0,0.922057
0,2.3602,0.260365,0.0588069,3.20191,0.0475608,0.605176,0.0209354,1.05878,1.55858,0.00169957,1.00711
0,2.3313,0.299152,0.0354051,3.44143,0.0410944,0.400685,0.0140033,0.951467,1.52612,0,0.961252
0.071321,2.39764,0.402656,0,3.43935,0.01366,0.140949,0.0235027,0.807098,1.62947,0,0.930639
0.476281,2.33132,0.312686,0,3.2674,0,0.149692,0.0431522,0.801961,1.83267,0,0.960076
0.342921,2.37445,0.10097,0,3.31061,0.0173798,0.119843,0.0430425,0.628801,2.07539,0.061302,1.00809
0.01534,2.43305,0.0535962,0,3.29154,0.127203,0.117093,0.170187,0.569136,2.15271,0,0.891892
0.049945,2.53113,0.0301879,0,3.23196,0.125315,0.121295,0.336078,0.52763,2.22087,0,0.760961
0.059801,2.57995,0.0265259,0,3.13557,0.117042,0.115379,0.0889484,0.476896,2.42098,0,0.709536
0.0793249,2.48416,0.0337925,0.0197516,2.7482,0.0560091,0.110266,0.0851601,0.496685,2.9058,0,0.8404
0.0551017,2.32517,0.0983834,0.014673,2.95295,0.229312,0.102344,0,0.968122,2.63953,0.00297078,0.907904
0.182107,2.00042,0.410103,0.0155031,3.09848,0.196862,0.0869049,0,1.2255,2.07802,0.0380583,0.64732
0.24217,1.69148,0.416406,0.00174475,3.32217,0.176378,0.0615676,0,1.27325,1.82288,0.0111112,0.637347
0.175516,1.42257,0.269544,0,3.49089,0.128978,0.0574638,0,1.247,1.8686,0.04098,0.644237
0.178132,1.28288,0.0770778,0.00242301,3.45258,0.156189,0.0627507,0,1.21132,2.04218,0.0462038,0.648016
0,1.09979,0.211625,0.007904,3.35231,0.361353,0.259324,0,1.07966,1.99954,0.00659189,0.597537
0,1.22023,0.120534,0.0119803,3.23855,0.450894,0.0854272,0,0.934984,2.16497,0.16471,0.623109
0.0360107,1.31588,0.211727,0.011937,3.17054,0.39454,0.0657025,0.0222302,0.753632,2.28165,0.425477,0.62493
0.0524522,1.47546,0.26518,0.0139453,3.19294,0.357189,0.0573879,0.0716702,0.648859,2.31879,0.403828,0.56348
0.0810081,1.31906,0.0811027,0.0110598,2.92832,0.342909,0.0609486,0.134817,0.576352,2.87405,0.0133259,0.505246
0.0101459,1.45831,0.175594,0.0161358,3.14145,0.391352,0.229301,0,0.964683,2.36876,0.0260368,0.67526
0.000350321,1.78403,0.0541854,0.138433,2.99698,0.308972,0.619367,0.0183868,1.26457,1.9303,0.0388741,0.983933
0.000424483,2.33083,0.0692055,0.1726,2.97382,0.309001,0.651832,0.0403099,1.19599,1.75739,0.0294854,1.00887
0.000464814,2.73722,0.194342,0,3.07782,0.220303,0.442584,0.012288,1.24633,1.54048,0.0256549,0.997827
0.000531814,2.99353,0.207304,0.00196997,3.15545,0.0301374,0.234113,0.0044709,1.28282,1.42115,0.0499544,0.970005
0.0006218,3.15055,0.285111,0,3.20798,0.0191045,0.0796261,0,1.11734,1.36755,0.0315759,0.91381
0.0904003,3.14317,0.308932,0,3.03759,0.096548,0.0403732,0.0252229,0.879271,1.63725,0.0439783,0.771805
0.000642377,3.00196,0.231234,0.00592655,2.6942,0.226609,0.0763989,0.10997,0.554684,2.13362,0.00743385,0.701969
0.000603305,2.9351,0.0398117,0.00208423,2.53504,0.1341,0.188411,0.152657,0.335638,2.56533,0.0195715,0.671106
3.79943e-05,2.98162,0.0349808,0,2.65186,0.00643449,0.099781,0.232476,0.31871,2.52167,0.0385115,0.638585
0.000508123,3.88371,0.00148498,0.0394486,2.52274,0.400817,0.00884376,0,0.951838,1.71048,0.0145484,0.587216
0.000559282,4.28925,0,0.0580469,1.73192,0.881469,0.114484,0,1.0868,1.03111,0.000999881,0.358591
0.000454176,4.23219,0.0406151,0.0614542,1.03078,0.895632,0.366828,0.000685642,1.11066,0.482609,0.00108607,0.371154
0.000391572,4.15544,0.194965,0.0686141,0.640545,0.79176,0.398403,0.0774921,1.02607,0.117007,0.00115111,0.383438
0.287685,4.15676,0.544072,0.0801507,0.504723,0.603622,0.261864,0.0248409,0.923371,0.0370407,0.00120802,0.255107
0.210418,4.20988,0.398122,0.0861438,0.469691,0.495483,0.181029,0.00522781,0.923941,0.272307,0.0012263,0.138668
0.305584,4.2571,0.234751,0.156916,0.441269,0.331549,0.0630357,0,1.09224,0.516991,0.00076009,0.130952
0.462006,4.00363,0.539006,0.170734,0.537959,0.154529,0.393678,0,1.18028,1.01874,0.0139539,0.161173
0.518118,2.89692,2.12569,0.112185,0.711177,0.000286935,0.906409,0,1.02158,1.31262,0.017388,0.215027
0.413961,1.76109,2.81592,0.0537683,0.644557,0,0.961677,0.137244,0.847626,1.89669,0.00223296,0.398601
0.000666512,1.84726,2.77387,0.129633,0.788983,0,0.755826,0.0370708,0.703055,2.28782,0.000102001,0.414354
0.0401454,1.49119,2.73721,0.00976818,1.58632,0,0.0960954,0.0432647,0.675529,2.10568,0.0250183,0.685556
0.0912591,0.498312,2.72674,0.0114495,2.59072,0,0.0353148,0.0350834,0.46338,2.08357,0.199207,0.623523
0.0918321,0.117362,2.72957,0.0145309,2.80784,0,0.0510343,0.134771,0.455266,1.87706,0.232646,0.672502
0.0792889,0.162456,2.67179,0.0183543,2.98652,0,0.0574706,0.302255,0.47279,1.59972,0.115421,0.668011
0.0584228,0.205579,2.60972,0.0188285,2.97764,0.00116289,0.173415,0.261859,0.619295,1.6606,0.0154183,0.611183
0.151974,0.164734,2.2281,0.430311,2.98777,0.0020482,0.219139,0.104316,0.666799,1.98714,0.125457,0.736439
0.324031,0.237056,2.21388,0.530453,2.90418,0.00629286,0.217095,0.0204502,0.589819,2.13423,0.190072,0.626319
0.391415,0.40744,2.21693,0.440188,2.79833,0.0109512,0.354971,0.0431255,0.366466,2.24583,0.135729,0.528314
0.465088,0.526392,2.10725,0.0193511,2.75594,0,0.361073,0.258904,0.181035,2.32183,0.0581611,0.496374
0.303277,0.474526,2.05733,0.0187521,2.92074,0.0189408,0.103572,0.380221,0.025585,2.12559,0.0601929,0.480574
0.0263297,0.241263,2.14383,0.0109575,3.0225,0.0170237,0.102573,0.192898,0.0942453,1.87213,0.0341701,0.594361
0.0180187,0.00396215,2.84477,0.265869,2.51895,0.055961,0.474342,0.107382,0.265321,1.66412,0.164876,0.672045
0.0410811,0.00435098,3.86003,0.149449,0.812041,0.0765135,0.819315,0.118807,0.183862,1.3411,0.16496,0.467765
0.0456371,0.0037244,4.11528,0.0151088,0.133784,0.00175356,0.859683,0.0574048,0.121181,1.3358,0.169451,0.450709
0.0526078,0.0030348,4.09554,0.00370018,0.218298,0,0.64504,0.200359,0.0285198,1.41166,0.0721814,0.324739
0.262545,0.0976835,4.1699,0.00557603,0.356183,0.00479325,0.604112,0.029855,0.00049968,1.4784,0,0.135871
0.074686,0.93161,3.8759,0.0045082,0.210292,0.375602,0.438429,0.347611,0.295309,1.60867,0,0.240784
0.000687787,2.18802,3.14075,0,0.0314821,0.594368,0.277088,0.554696,0.414989,1.74865,0,0.345485
0.000487939,3.24436,1.64268,0,0.0656587,0.54318,0.329246,0.522969,0.61666,1.96352,0,0.354993
0.000433201,3.80142,0.368316,0,0.478054,0.600821,0.348343,0.31196,0.859536,1.96572,0,0.213822
0.000427413,3.88672,0.398938,0.141418,0.521375,0.520674,0.299536,0,0.870475,1.70504,0.00367383,0.0493951
0.000212577,3.22617,0.949141,0.229354,1.30747,0.38875,0.471307,0.00697091,0.755548,1.59358,0.000201526,0.098652
0.000277104,2.87169,0.699251,0.187831,2.29444,0.314056,0.646138,0.0247164,0.783889,1.79298,0.00018613,0.196333
0.000350604,2.67245,0.569142,0.116097,2.69802,0.195823,0.591176,0.0421189,0.856847,1.7999,0.000214766,0.369257
0.000462677,2.68672,0.31684,0.0437741,3.03355,0.0171264,0.450211,0.0600843,0.801915,1.72591,0.0412407,0.557126
0.125281,2.72127,0.0616323,0.0649352,3.06939,0.00515584,0.354667,0.0594461,0.65178,1.76,0.00351375,0.630578
0.435032,2.66045,0.0612355,0.175616,3.07085,0.00773789,0.136542,0.216827,0.455992,1.92134,0.224675,0.707683
0.325235,2.54837,0.0596916,0.195113,3.16674,0.0145406,0.0586152,0.300722,0.335767,2.15341,0.313116,0.696009
0.140107,2.38982,0.0649196,0.153508,3.21881,0.0279231,0.0889806,0.185564,0.310943,2.49219,0.232091,0.620407
0.000379742,2.23197,0.158118,0.0454215,3.05164,0.034826,0.26827,0,0.232814,2.7108,0.0306084,0.536031
0.112208,2.18103,0.0563848,0.283357,2.98736,0.0390594,0.38724,0,0.192779,2.59378,0.0241247,0.482728
0.24988,2.22706,0.0553715,0.440211,3.26042,0.0385092,0.422737,0.107394,0.534998,2.1543,0.0806774,0.649403
0.441233,2.35029,0.0541084,0.478356,3.42438,0.0189917,0.244416,0.220445,0.672142,1.75543,0.169246,0.839836
0.559722,2.28701,0.053106,0.219461,3.47038,0,0.239176,0.283285,0.6196,1.7131,0.127414,0.894703
0.559999,2.22088,0.185445,0.0170759,3.40731,0.00180131,0.271232,0.152999,0.555189,1.70136,0.00624532,0.946745
0.359854,2.13605,0.23996,0.0126977,3.26582,0.0252935,0.363982,0.0130318,0.391163,1.79428,0.00037439,0.959785
0.317844,1.94572,0.320538,0.00885863,3.16521,0.0172921,0.589868,0,0.206168,1.94935,0.0758807,0.987515
0.0942447,2.03077,0.254753,0.0340902,3.02568,0,0.454485,0,0.229374,2.20602,0.122594,0.97496
0.000215515,2.18352,0.200365,0.00844964,2.98724,0,0.452675,0.134871,0.216251,2.23978,0.116408,0.958311
0,2.38275,0.0996368,0.000300185,2.75122,0,0.287109,0.240197,0.0107836,2.61898,0.0665209,1.01852
0.049273,2.59004,0.0958165,0.00154078,3.02951,0.0477188,0.239566,0.00504612,0.152489,2.42743,0.0144831,0.923564
0.12107,2.28525,0.072431,0.0809313,2.94198,0.34913,0.229581,0,0.448195,2.04772,0.0151787,0.712771
0.147723,1.90324,0.0622492,0.361081,2.82913,0.530444,0.302955,0,0.516243,1.65968,0.151065,0.854651
0.140181,1.4796,0.109905,0.472056,3.12188,0.407975,0.343914,0,0.523605,1.68333,0.22944,0.935442
0.0354895,1.32202,0.155633,0.317417,3.15127,0.150307,0.316894,0.0434491,0.520748,1.85481,0.226487,0.924378
0.000323416,1.42363,0.104243,0.305073,2.97498,0.0901219,0.221816,0.000570808,0.609182,1.95738,0.0567712,0.708762
0.000499842,1.3504,0.0493253,0.41689,2.80895,0.111677,0.205149,0.00136155,0.725321,2.09359,0,0.680893
0.00041785,1.07973,0.107697,0.471087,2.72115,0.017586,0.48834,0.00282147,0.637569,2.06109,0.0410915,0.71325
0.142055,1.13465,0.143654,0.292323,2.973,0,0.502804,0.415026,0.583514,1.69155,0.327249,0.615832
0.0487833,1.22244,0.177678,0.0978014,3.29217,0,0.208553,0.43444,0.455237,1.52954,0.574744,0.607101
0.0129322,0.99262,0.257493,0.251322,3.45844,0,0.174139,0.112635,0.517248,1.52779,0.340733,0.949682
0.00238315,0.830157,0.253669,0.10495,3.70334,0.0163033,0.0348535,0,0.585617,1.43686,0.207663,1.56332
0.000320123,0.841882,0.493988,0,3.7285,0.0997708,0.0314548,0.0296018,0.70896,1.16567,0.281181,1.75849
0,0.923352,0.433231,0,3.92951,0.0573625,0.0335834,0.194977,0.637965,1.1815,0.265454,1.51115
0,0.843431,0.397933,0,3.96092,0.0268585,0.172994,0.163967,0.745689,1.29755,0.204697,1.35633
0.205691,0.702598,0.397507,0.00143744,3.76526,0.0301972,0.332984,0.0808619,0.728056,1.36895,0.141311,1.11736
0,0.617064,0.415975,0.00390455,3.70471,0.155447,0.326287,0.0568933,0.659917,1.28395,0.515005,0.874565
0,0.287157,0.347067,0,3.64536,0.237065,0.356657,0.174872,0.602796,1.36408,0.810091,0.831607
0.170127,0.255229,0.287705,0.00079568,3.52704,0.0772162,0.493666,0.0708964,0.465872,1.54333,0.700451,0.79544
