BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
-3840.62,-1.7053e-13,2.41585e-13,-9.9476e-14,2.13163e-13,-1.84741e-13,1.56319e-13,-5.68434e-14,1.7053e-13,-7.38964e-13,1.56319e-13,6.6791e-13,2.84217e-14,-4.40536e-13,2.55795e-13,-5.68434e-13,1.27898e-13,-1.84741e-13,-6.6791e-13,1.84741e-13,-2.31637e-12
-3840.62,-1.7053e-13,2.41585e-13,-9.9476e-14,2.13163e-13,-1.84741e-13,1.56319e-13,-5.68434e-14,1.7053e-13,-7.38964e-13,1.56319e-13,6.6791e-13,2.84217e-14,-4.40536e-13,2.55795e-13,-5.68434e-13,1.27898e-13,-1.84741e-13,-6.6791e-13,1.84741e-13,-2.31637e-12
-494.708,73.7029,-52.1513,18.101,0.209563,-18.5735,10.9799,-12.5751,-4.88949,8.78684,-7.06663,6.94113,2.07255,-7.21812,10.7927,-0.329822,1.58945,2.32556,-5.69383,-0.427972,-0.362298
-466.999,78.2089,-59.271,17.9757,-10.7143,-16.1402,16.0248,-15.4195,0.173881,0.322362,-12.2945,6.09556,-4.67798,-3.7707,6.58201,-5.3909,4.44058,-0.808686,-1.90559,3.24801,-3.15823
-463.956,79.3424,-60.0031,18.9582,-11.0132,-17.6587,13.2302,-15.0996,0.894441,3.41734,-9.76885,6.66159,-3.73293,-2.66062,7.77658,-4.40652,7.22249,-1.93359,-0.706088,3.43172,-3.90886
-465.869,75.5899,-59.6353,19.6007,-8.79513,-14.1124,17.5715,-11.4148,3.90691,3.38158,-9.70298,6.36815,-5.09734,-1.77496,5.64776,-6.94743,5.39895,-2.35107,-0.327717,3.67106,-3.65358
-466.289,76.7664,-59.2978,18.5069,-9.76113,-13.9927,16.0057,-11.7702,5.2912,7.85971,-5.86195,9.19452,-4.55502,-2.52826,4.47638,-8.12013,2.99083,-4.68006,-2.00342,4.1012,-3.85432
-463.872,79.5431,-59.9398,17.2457,-7.43822,-16.0465,14.1653,-11.776,2.72919,6.58608,-7.77499,7.72733,-4.31931,-4.43841,2.63046,-9.16338,2.29556,-2.5485,-4.80462,3.02445,-3.53422
-475.658,78.2455,-61.1192,15.2096,-4.48971,-19.3278,12.7135,-11.6103,-2.37549,4.28128,-12.7602,6.67386,-2.14832,-9.21097,5.7629,-8.15911,0.252804,-0.185809,-5.63953,3.21019,-2.06544
-473.058,78.2131,-61.1148,17.7579,-2.12847,-19.0501,15.258,-11.7479,-1.15519,8.87546,-10.1175,5.48282,-0.168877,-5.2624,8.54852,-4.44253,1.39354,1.15593,-3.929,4.22215,0.44082
